starttime	seconds	ctime	dtime	ttime	wait
Tue Nov 05 21:21:10 2024	1730838070	3	2	5	0
Tue Nov 05 21:21:52 2024	1730838112	2	3	5	0
Tue Nov 05 21:21:26 2024	1730838086	3	3	5	0
Tue Nov 05 21:21:18 2024	1730838078	3	2	5	0
Tue Nov 05 21:21:33 2024	1730838093	4	1	5	0
Tue Nov 05 21:21:28 2024	1730838088	2	3	5	0
Tue Nov 05 21:21:54 2024	1730838114	2	3	5	0
Tue Nov 05 21:21:28 2024	1730838088	3	3	5	0
Tue Nov 05 21:21:18 2024	1730838078	2	3	5	0
Tue Nov 05 21:21:18 2024	1730838078	3	2	5	0
Tue Nov 05 21:21:28 2024	1730838088	2	4	5	0
Tue Nov 05 21:21:28 2024	1730838088	3	3	5	0
Tue Nov 05 21:21:28 2024	1730838088	3	3	5	0
Tue Nov 05 21:21:28 2024	1730838088	2	4	5	0
Tue Nov 05 21:21:18 2024	1730838078	2	3	5	0
Tue Nov 05 21:21:18 2024	1730838078	2	3	5	0
Tue Nov 05 21:21:57 2024	1730838117	4	2	5	0
Tue Nov 05 21:21:08 2024	1730838068	2	3	5	0
Tue Nov 05 21:21:32 2024	1730838092	4	1	5	0
Tue Nov 05 21:21:35 2024	1730838095	3	3	5	0
Tue Nov 05 21:21:34 2024	1730838094	2	3	5	0
Tue Nov 05 21:21:28 2024	1730838088	3	3	5	0
Tue Nov 05 21:21:27 2024	1730838087	2	3	5	0
Tue Nov 05 21:21:48 2024	1730838108	3	3	5	0
Tue Nov 05 21:21:57 2024	1730838117	2	3	5	0
Tue Nov 05 21:21:34 2024	1730838094	3	3	5	0
Tue Nov 05 21:21:27 2024	1730838087	3	3	5	0
Tue Nov 05 21:21:27 2024	1730838087	3	3	5	0
Tue Nov 05 21:21:43 2024	1730838103	2	3	5	0
Tue Nov 05 21:21:27 2024	1730838087	3	3	5	0
Tue Nov 05 21:21:55 2024	1730838115	2	3	5	0
Tue Nov 05 21:21:27 2024	1730838087	3	3	5	0
Tue Nov 05 21:21:34 2024	1730838094	3	3	5	0
Tue Nov 05 21:21:43 2024	1730838103	3	3	5	0
Tue Nov 05 21:21:43 2024	1730838103	3	3	5	0
Tue Nov 05 21:21:48 2024	1730838108	3	3	5	0
Tue Nov 05 21:21:27 2024	1730838087	3	3	5	0
Tue Nov 05 21:21:21 2024	1730838081	3	2	5	0
Tue Nov 05 21:21:27 2024	1730838087	2	3	5	0
Tue Nov 05 21:21:43 2024	1730838103	2	3	5	0
Tue Nov 05 21:21:43 2024	1730838103	3	3	5	0
Tue Nov 05 21:21:43 2024	1730838103	3	3	5	0
Tue Nov 05 21:21:27 2024	1730838087	2	3	5	0
Tue Nov 05 21:21:43 2024	1730838103	3	3	5	0
Tue Nov 05 21:21:43 2024	1730838103	2	3	5	0
Tue Nov 05 21:21:55 2024	1730838115	3	3	5	0
Tue Nov 05 21:21:27 2024	1730838087	2	3	5	0
Tue Nov 05 21:21:43 2024	1730838103	3	3	5	0
Tue Nov 05 21:21:27 2024	1730838087	3	3	5	0
Tue Nov 05 21:21:27 2024	1730838087	3	3	5	0
Tue Nov 05 21:21:43 2024	1730838103	3	3	5	0
Tue Nov 05 21:21:43 2024	1730838103	3	3	5	0
Tue Nov 05 21:21:43 2024	1730838103	3	3	5	0
Tue Nov 05 21:21:43 2024	1730838103	3	3	5	0
Tue Nov 05 21:21:43 2024	1730838103	3	3	5	0
Tue Nov 05 21:21:43 2024	1730838103	3	3	5	0
Tue Nov 05 21:21:43 2024	1730838103	3	3	5	0
Tue Nov 05 21:21:43 2024	1730838103	3	3	5	0
Tue Nov 05 21:21:43 2024	1730838103	3	3	5	0
Tue Nov 05 21:21:43 2024	1730838103	3	3	5	0
Tue Nov 05 21:21:30 2024	1730838090	3	2	5	0
Tue Nov 05 21:21:43 2024	1730838103	3	3	5	0
Tue Nov 05 21:21:43 2024	1730838103	2	3	5	0
Tue Nov 05 21:21:22 2024	1730838082	4	1	5	0
Tue Nov 05 21:21:30 2024	1730838090	3	3	5	0
Tue Nov 05 21:21:18 2024	1730838078	3	2	5	0
Tue Nov 05 21:21:50 2024	1730838110	3	3	5	0
Tue Nov 05 21:21:50 2024	1730838110	3	3	5	0
Tue Nov 05 21:21:28 2024	1730838088	2	3	5	0
Tue Nov 05 21:21:55 2024	1730838115	3	3	5	0
Tue Nov 05 21:21:30 2024	1730838090	2	3	5	0
Tue Nov 05 21:21:43 2024	1730838103	3	3	5	0
Tue Nov 05 21:21:43 2024	1730838103	3	3	5	0
Tue Nov 05 21:21:34 2024	1730838094	3	3	5	0
Tue Nov 05 21:21:44 2024	1730838104	3	3	5	0
Tue Nov 05 21:21:47 2024	1730838107	3	3	5	0
Tue Nov 05 21:21:56 2024	1730838116	3	3	5	0
Tue Nov 05 21:21:35 2024	1730838095	3	3	5	0
Tue Nov 05 21:21:34 2024	1730838094	3	3	5	0
Tue Nov 05 21:21:46 2024	1730838106	3	3	5	0
Tue Nov 05 21:21:27 2024	1730838087	3	3	5	0
Tue Nov 05 21:21:27 2024	1730838087	3	3	5	0
Tue Nov 05 21:21:24 2024	1730838084	2	3	5	0
Tue Nov 05 21:21:43 2024	1730838103	3	3	5	0
Tue Nov 05 21:21:34 2024	1730838094	3	3	5	0
Tue Nov 05 21:21:27 2024	1730838087	3	3	5	0
Tue Nov 05 21:21:50 2024	1730838110	3	3	5	0
Tue Nov 05 21:21:50 2024	1730838110	3	3	5	0
Tue Nov 05 21:21:45 2024	1730838105	3	3	5	0
Tue Nov 05 21:21:24 2024	1730838084	3	3	5	0
Tue Nov 05 21:21:45 2024	1730838105	3	3	5	0
Tue Nov 05 21:21:11 2024	1730838071	3	3	5	0
Tue Nov 05 21:21:48 2024	1730838108	3	3	5	0
Tue Nov 05 21:21:07 2024	1730838067	4	2	5	0
Tue Nov 05 21:21:34 2024	1730838094	3	3	5	0
Tue Nov 05 21:21:55 2024	1730838115	2	3	5	0
Tue Nov 05 21:21:34 2024	1730838094	3	3	5	0
Tue Nov 05 21:21:34 2024	1730838094	3	3	5	0
Tue Nov 05 21:21:34 2024	1730838094	3	3	5	0
Tue Nov 05 21:21:34 2024	1730838094	3	3	5	0
Tue Nov 05 21:21:55 2024	1730838115	2	3	5	0
Tue Nov 05 21:22:00 2024	1730838120	2	3	5	0
Tue Nov 05 21:21:43 2024	1730838103	3	3	5	0
Tue Nov 05 21:21:44 2024	1730838104	3	3	5	0
Tue Nov 05 21:21:55 2024	1730838115	3	3	5	0
Tue Nov 05 21:21:18 2024	1730838078	2	3	6	0
Tue Nov 05 21:21:21 2024	1730838081	3	3	6	0
Tue Nov 05 21:21:55 2024	1730838115	3	3	6	0
